"start","end","text","speaker"
"1220","4480"," How would you say, I want to carry on?","Speaker 1"
"4980","5800"," Now you think, carry on?","Speaker 1"
"5840","6580"," I don't know this.","Speaker 1"
"6980","14740"," So one of the skills we want to really make use of these convertible words is to find the Latin equivalent of carry on.","Speaker 1"
"15580","19140"," I want to carry on, I want to go on, I want to...","Speaker 1"
"20280","22280"," What is the Latin word that we could use here?","Speaker 1"
"24970","25910"," Nothing comes to mind?","Speaker 1"
"26970","27410"," Blank.","Speaker 2"
"28210","29010"," So think of...","Speaker 1"
"29010","29630"," Ah, continue.","Speaker 1"
"29910","33930"," Ah, so you can think of a shun word that has something to do with carrying on.","Speaker 1"
"34270","34670"," Continuation.","Speaker 2"
"34810","35190"," Exactly.","Speaker 1"
"35750","36090"," Good.","Speaker 1"
"36310","37370"," So I want to continue?","Speaker 1"
"39770","40810"," Quiero continuar.","Speaker 2"
"41350","42290"," Quiero continuar.","Speaker 1"
"42590","43710"," I want to continue it?","Speaker 1"
"44290","45650"," Quiero continuarlo.","Speaker 2"
"45850","46090"," Good.","Speaker 1"
"46270","47430"," I'm trying to continue.","Speaker 1"
"49460","51440"," I've already forgotten what trying is.","Speaker 2"
"51720","55180"," So it's not about remembering, it's about knowing how to find it.","Speaker 1"
"55380","60560"," So there are a few things you could think about that when we discuss this word that could lead you back to it.","Speaker 1"
"60560","66080"," And the important thing is to take that time to have those thoughts rather than just, oh, do I know it?","Speaker 1"
"66160","66660"," Do I know it?","Speaker 1"
"68960","69360"," Intención.","Speaker 1"
"69720","70120"," Intención.","Speaker 1"
"70420","73000"," There wasn't a rule here because it doesn't finish ation.","Speaker 1"
"73180","75900"," A rule was for one to finish ation, but it was very similar.","Speaker 1"
"76040","77100"," Do you remember what it is now?","Speaker 1"
"77600","78060"," I try.","Speaker 1"
"79580","81600"," So it ends in O like...","Speaker 1"
"81600","82140"," Ah, intento.","Speaker 2"
"82620","83020"," Intento.","Speaker 1"
"83400","83640"," Good.","Speaker 1"
"83700","84520"," So that's I try.","Speaker 1"
"84800","91640"," We want to see first if we can find it relaxed, not, you know, if your brain locks on, do I remember it or don't I?","Speaker 1"
"91960","92700"," Game over.","Speaker 1"
"92920","94620"," But if you go, okay, what was that related to?","Speaker 1"
"94680","95360"," What was that about?","Speaker 1"
"95680","98320"," And to see what pops up, then you're much more likely to get it.","Speaker 1"
"98620","99460"," So intento.","Speaker 1"
"99560","100640"," Intento is I try.","Speaker 1"
"101220","103240"," I try or I'm trying to continue.","Speaker 1"
"105280","106680"," Intento continuar.","Speaker 1"
"107040","107220"," Good.","Speaker 1"
"107720","108920"," Intento continuar.","Speaker 1"
"109520","111520"," What is a demostración?","Speaker 1"
"114160","114600"," Demonstration.","Speaker 2"
"115260","115700"," Demonstration.","Speaker 1"
"115800","117600"," Do you know it's something different though?","Speaker 1"
"118020","118940"," There's some change here.","Speaker 1"
"119420","119860"," Demostración.","Speaker 1"
"120220","120900"," There's no N.","Speaker 1"
"121100","121480"," Good.","Speaker 1"
"121660","122220"," There's no N.","Speaker 1"
"123160","123600"," Demostración.","Speaker 1"
"123940","125080"," So how would you say to demonstrate?","Speaker 1"
"126960","127400"," Demostrar.","Speaker 1"
"127400","127840"," Demostrar.","Speaker 1"
"128120","131860"," Now, if you get rid of that D, how would it sound?","Speaker 1"
"133400","133840"," Mostrar.","Speaker 1"
"134000","134440"," Mostrar.","Speaker 1"
"134540","135240"," And that means to show.","Speaker 1"
"135800","136200"," To show.","Speaker 1"
"136600","137040"," Mostrar.","Speaker 1"
"137400","142600"," So we might think, again, mostrar has no connection that we can hook on to.","Speaker 1"
"143140","151920"," But usually, when we have a look, we can find some connection through English, Latin English, that helps us interiorise mostrar, to show.","Speaker 1"
"152280","154680"," The word for something is algo.","Speaker 1"
"155140","155580"," Algo.","Speaker 1"
"155820","156760"," A-L-G-O.","Speaker 1"
"157140","157620"," Algo.","Speaker 1"
"157780","158260"," Algo.","Speaker 2"
"158480","158880"," Algo.","Speaker 1"
"159140","159400"," Good.","Speaker 1"
"159860","161900"," What was the word for you, like in I love you?","Speaker 1"
"162040","162880"," How was I love you?","Speaker 1"
"164080","164700"," Te quiero.","Speaker 2"
"164920","165520"," Te quiero.","Speaker 1"
"165680","166280"," So it was te.","Speaker 1"
"166280","170940"," So how would you say I want to show you something?","Speaker 1"
"171180","171600"," In this order.","Speaker 1"
"171860","174140"," I want to show you something.","Speaker 1"
"176440","178720"," Quiero mostrarte algo.","Speaker 2"
"179060","181380"," Quiero mostrarte algo.","Speaker 1"
"181520","182780"," I want to show you something.","Speaker 1"
"183580","189100"," What again was I go, I'm going, and it was related to voyage, we said?","Speaker 1"
"191160","191440"," Voy.","Speaker 1"
"191440","198040"," The beginning bit of voyage, and you're mostly going to hear it pronounced more like a soft B, voy, voy.","Speaker 1"
"199400","212400"," Now, just as in English, we say I'm going to, and we talk about the future, I'm going to continue, I'm going to eat later, we can do exactly the same thing in Spanish.","Speaker 1"
"213100","221340"," The only difference is that even though, for example, if we use continue, continuar, continuar means to continue.","Speaker 1"
"221720","225360"," In Spanish, we say voy a continuar.","Speaker 1"
"225640","227940"," It's actually because voy is a verb of movement.","Speaker 1"
"228380","242760"," When we are putting a to form, a verb that is to something, like continuar, after a verb of movement, a verb that has some kind of motion in its meaning, like voy, I'm going, Spanish wants to show this feeling of motion.","Speaker 1"
"243060","246300"," So you say I'm going to, and you put the to for that movement.","Speaker 1"
"246300","250620"," Even if you're not actually moving, and you're just using it to speak about the future.","Speaker 1"
"251660","256060"," So, if you want to say, for example, I'm going to confiscate it.","Speaker 1"
"256320","258420"," I'm going to confiscate it.","Speaker 1"
"264800","265320"," Good.","Speaker 2"
"267700","268480"," Very good.","Speaker 1"
"268660","270480"," How do you say I'm going to examine it?","Speaker 1"
"270860","272400"," I'm going to examine it.","Speaker 1"
"276360","276800"," Good.","Speaker 2"
"281420","283220"," Now, we said lo is it or him.","Speaker 1"
"283940","286680"," Now, the plural of him is them.","Speaker 1"
"287480","291940"," This is not very obvious in English because him and them, they look very different as words.","Speaker 1"
"292560","297100"," We don't ever think of them as the plural of him or of her, but it is.","Speaker 1"
"297480","298800"," It's very obvious in Spanish.","Speaker 1"
"299460","304640"," Lo means him or it, and if you want to get them, if you want to make it plural, what do you think you might do?","Speaker 1"
"305920","307520"," Justadias, los.","Speaker 1"
"308400","308660"," Good.","Speaker 1"
"309320","310940"," So, now we have the word for them.","Speaker 1"
"311520","313680"," To see is ver, ver.","Speaker 1"
"314360","318540"," We have a view in English, like view, ver.","Speaker 1"
"319000","321240"," So, how would you say I want to see them?","Speaker 1"
"324980","326440"," Why a here?","Speaker 1"
"328260","331320"," So, ver is to see.","Speaker 1"
"331980","334560"," If you say I'm going to see them, how is it going to be?","Speaker 1"
"336800","339160"," Voy a verlos.","Speaker 2"
"339320","339420"," Good.","Speaker 1"
"339540","340760"," Voy a verlos.","Speaker 1"
"340940","342560"," But if you say I want to see them?","Speaker 1"
"343920","344960"," Quiero verlos.","Speaker 2"
"345060","346960"," And if you say I'm trying to see them?","Speaker 1"
"349640","350680"," Intento verlos.","Speaker 1"
"350820","350980"," Good.","Speaker 1"
"351240","351580"," Now, a.","Speaker 1"
"352220","353260"," Intento verlos.","Speaker 1"
"353380","354660"," Because ver is to see.","Speaker 1"
"355380","357400"," To try, so try in its to form.","Speaker 1"
"357520","361160"," To try is intentar, intentar.","Speaker 1"
"361720","362820"," This is to try.","Speaker 1"
"363480","364900"," So, how would you say I want to try?","Speaker 1"
"368000","368380"," Good.","Speaker 1"
"368900","369900"," I'm going to try.","Speaker 1"
"373420","374220"," Good, with a.","Speaker 1"
"374480","375660"," Voy a intentar.","Speaker 1"
"376100","379460"," I'm going to try to see them.","Speaker 1"
"379900","382780"," I'm going to try to see them.","Speaker 1"
"389020","390540"," Very good.","Speaker 2"
"394520","394760"," Good.","Speaker 1"
"397060","400960"," Let me give you another example of a verb that connects with this a.","Speaker 1"
"401280","402840"," So, voy isn't isolated.","Speaker 1"
"403000","406180"," We can understand the concept better if we see another verb of movement.","Speaker 1"
"406320","408200"," So, another verb of movement is pasar.","Speaker 1"
"408500","409680"," What do you think pasar means?","Speaker 1"
"411420","412360"," It is to pass.","Speaker 2"
"413260","416500"," Yes, pasar is to pass and to pass by.","Speaker 1"
"417180","419340"," So, I'm going to pass by to visit you.","Speaker 1"
"419600","422400"," I'm going to pass by to visit you.","Speaker 1"
"422780","423700"," How would we say this?","Speaker 1"
"423700","424840"," The first bit is I'm going.","Speaker 1"
"426820","427280"," Good.","Speaker 1"
"428000","429300"," I'm going to pass by.","Speaker 1"
"431180","431540"," Good.","Speaker 1"
"431780","432480"," To visit you.","Speaker 1"
"438780","445000"," Well, actually, lo other than him and it can also mean formulu.","Speaker 1"
"445420","448440"," So, if you're speaking formally, you can use this lo as well.","Speaker 1"
"449180","450640"," But I want to go back to pasar.","Speaker 1"
"450760","452140"," Pasar is a verb of movement.","Speaker 1"
"453480","455220"," Let's take the sentence again from the beginning.","Speaker 1"
"455220","458860"," The whole sentence is I'm going to pass by to visit you.","Speaker 1"
"466410","466930"," Good.","Speaker 2"
"467410","470550"," Lo if you're speaking formally or te if you're speaking informally.","Speaker 1"
"474930","477550"," Which would mean him, it or you, formal.","Speaker 1"
"478610","480570"," How would you say formal, by the way, in Spanish?","Speaker 1"
"480870","481350"," Formal.","Speaker 1"
"481450","482110"," And formally?","Speaker 1"
"484550","485330"," Very good.","Speaker 1"
"485330","498550"," Now, if you want to say I am going to try to pass by to visit you, we have to think which ones we're going to use this a with and which ones not, which is a great exercise for us to internalize this rule.","Speaker 1"
"498990","500710"," So, I am going to try.","Speaker 1"
"504550","505890"," To pass by.","Speaker 1"
"512750","514110"," To visit you.","Speaker 1"
"517429","518390"," A visitarte.","Speaker 2"
"518650","519010"," Very good.","Speaker 1"
"519429","521429"," So, we learned that word.","Speaker 1"
"526630","529630"," There's not many times that we have something between the verbs.","Speaker 1"
"530030","531630"," So, there's not going to be a lot of words like this.","Speaker 1"
"531630","532030"," Don't worry.","Speaker 1"
"532130","538790"," But this one's important because there are many important verbs of motion that we would be putting this a after.","Speaker 1"
"540050","542050"," How was to demonstrate again?","Speaker 1"
"543630","544110"," Demonstrar.","Speaker 1"
"544110","545930"," And what happened to that n?","Speaker 1"
"548450","548970"," Demostrar.","Speaker 1"
"549190","550110"," And what is to show?","Speaker 1"
"552150","553110"," You get rid of it.","Speaker 1"
"553370","553470"," Good.","Speaker 1"
"553850","554370"," Mostrar.","Speaker 1"
"554670","557510"," And the word for something I mentioned was algo.","Speaker 1"
"559450","559970"," Something.","Speaker 2"
"561450","563090"," I want to show you something.","Speaker 1"
"563350","565350"," Let's speak informally.","Speaker 1"
"565830","567010"," I want to show you something.","Speaker 1"
"567150","567930"," So, we're going to use te.","Speaker 1"
"573020","573540"," Good.","Speaker 1"
"573540","576140"," I want to show you something.","Speaker 1"
"577920","581360"," So, maybe you call somebody and you say like where are you?","Speaker 1"
"581460","581940"," I'm at home.","Speaker 1"
"582060","582200"," Okay.","Speaker 1"
"582320","584900"," I want to pass by to show you something.","Speaker 1"
"585500","588000"," I want to pass by to show you something.","Speaker 1"
"592810","594620"," To show you something.","Speaker 1"
"597600","598140"," Good.","Speaker 1"
